frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,up,79.76454386668435,None,80.71342319995165,81.04060429998208,up,1,10.19499150000047,78.26019669999368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
200,0,1,1,0,,,,,,,,,200,30,up,91.20863626670713,None,None,None,left,0,1.4591784999938682,89.7236856999807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
850,0,2,2,2,,,,,,,,,850,30,left,93.37151786667916,None,None,None,left,1,1.3874487000284716,92.9233825999545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
1300,0,3,3,3,,,,,,,,,1300,30,right,None,None,None,None,left,0,1.080485700047575,99.88681559998076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
5000,0,4,4,4,,,,,,,,,5000,30,up,None,None,None,None,left,0,1.0674383000005037,104.36316619999707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,1,10,153.18932526669622,None,152.18235969997477,152.51765039993916,153.17265860002954,153.49176050000824,154.15415930002928,154.48882760002743,right,0,9.123870500014164,152.21944809996057,None,154.72468420001678,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,40,0.004405244365040069,1,0,1,10,None,None,162.86298279999755,None,None,None,None,None,left,0,-1.4002501999493688,162.9274396999972,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,50,0.013930605843148852,1,0,1,10,164.48214456666418,None,164.43120019999333,164.76387080003042,None,None,None,None,left,1,0.5201408999273553,164.49581600003876,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,50,0.013930605843148852,1,0,1,10,166.55409496667951,None,166.53742830001283,166.87024880002718,None,None,None,None,left,1,0.5107302999822423,166.56874609994702,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,-1,1,-1,-10,None,None,168.601639600005,168.93401540000923,None,None,None,None,left,0,0.431711700046435,168.6714341000188,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,left,1000,35,0.002477250954023951,1,2,1,2.5,170.65533966670435,None,170.63867300003767,170.97043779992964,171.6345153999282,171.97001809999347,172.63725569995586,172.97100230003707,right,0,14.11489279998932,170.67605170002207,None,173.19052469998132,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,37.5,0.0033034672400379795,1,2,1,2.5,187.35513506661326,None,186.3168108999962,186.65048880001996,187.30354480003007,187.62718239997048,None,None,up,1,1.588309200014919,186.3542103000218,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,up,1000,37.5,0.0033034672400379795,1,2,1,2.5,190.4860577666589,None,189.45958369993605,189.78855079994537,190.4693910999922,190.7877126999665,None,None,up,1,1.740960199967958,189.52267330000177,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,32.5,0.0018576761454858627,-1,3,-1,-5.0,193.87667536660254,194.1044035999803,192.8260622000089,193.15037269995082,193.83032529999036,194.16732799995225,194.82888879999518,195.1586386000272,up,1,4.688372200005688,192.88635919999797,None,195.39329149993137,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,left,1000,32.5,0.0018576761454858627,-1,3,-1,-5.0,199.11659946659736,199.35026410000864,199.09993279993068,199.43892600003164,200.09120220004115,200.4192650000332,201.09731590002775,201.43072439997923,right,0,6.618230399908498,199.13371800002642,None,201.64281370001845,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,left,1000,35.0,0.002477250954023951,1,4,1,2.5,207.30176846665952,None,207.25668739993125,207.5896509999875,None,None,None,None,left,1,0.8852993999607861,207.31333070003893,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,right,1000,35.0,0.002477250954023951,1,4,1,2.5,211.75773086661164,211.98729349998757,209.71304339997005,210.04582210001536,210.7215449999785,211.04947740002535,211.70705209998414,212.05167399998754,right,1,2.489707099972293,209.77275669993833,None,212.2831391999498,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,left,1000,30.0,0.0013930605843148849,-1,5,-1,-5.0,213.80229026667465,None,213.78562360000797,214.10070079995785,214.78001210000366,215.11377649998758,215.77988269994967,216.11914730002172,up,0,4.338206799933687,213.82109600002877,None,216.34822199994233,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,left,1000,32.5,0.0018576761454858627,1,6,1,2.5,219.73025536659796,None,219.6807757000206,None,None,None,None,None,right,0,-1.3897343999706209,219.7418975000037,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1500,30,0.001527460556607757,0,0,1,10,225.64959986665443,None,225.63293319998775,225.9581435000291,226.63356220000423,226.95713470003102,227.6343252999941,227.9568134000292,up,0,4.169851899961941,225.6614525000332,None,228.1704964999808,None,space,4.298639100044966,220.82009579997975,None,220.82009579997975,None,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,up,1500,40,0.004830254394949068,1,0,1,10,None,None,231.32618620002177,None,None,None,None,None,right,0,-1.5496625000378117,231.39656539994758,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,left,1500,50,0.01527460556607757,1,0,1,10,232.98049266665865,233.2083386000013,232.92975410004146,233.27233069995418,None,None,None,None,left,1,0.5133703999454156,232.99768499995116,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,right,1500,50,0.01527460556607757,1,0,1,10,237.08498106670257,None,235.0358022999717,235.36728669994045,236.03143199998885,236.3720095999306,237.03499960002955,237.37242959998548,right,1,2.3424597999546677,235.1044243000215,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,up,1500,30,0.001527460556607757,-1,1,-1,-10,240.02743906662025,240.2496778999921,238.9735983000137,239.3074832999846,239.97679290000815,240.31455260002986,240.97871659998782,241.30572329997085,up,1,3.920348500018008,239.03899199992884,None,241.53981320001185,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,up,1500,30,0.001527460556607757,-1,1,-1,-10,245.4999909666988,None,244.4790451999288,244.81093149993103,245.4833243000321,245.814436799963,246.47879500000272,246.81454489997122,up,1,3.8957832999294624,244.5513595000375,None,247.04827070003375,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,left,1500,20,0.00048302543949490677,-1,1,-1,-10,249.9995826666166,None,249.94828589993995,None,None,None,None,None,left,1,-1.5518087999662384,250.01473669998813,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,up,1500,20,0.00048302543949490677,-1,1,-1,-10,252.596935666694,None,251.5450224999804,251.88636030000634,252.54554079996888,252.8859651000239,253.55600989994127,253.88342550001107,left,0,8.926890700007789,251.60799839999527,None,254.11784770002123,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,right,1500,25,0.0008589541935787943,1,2,1,2.5,264.09279786661887,None,262.0723230999429,262.39152890001424,263.0619186999975,263.396214999957,264.0761311999522,264.39851400000043,up,0,5.17474119993858,262.1039000999881,None,264.633341299952,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,up,1500,27.5,0.0011454338263838868,1,2,1,2.5,None,None,268.78856060002,None,None,None,None,None,left,0,-1.522156700026244,268.8488672999665,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,left,1500,30.0,0.001527460556607757,1,2,1,2.5,270.41129366663904,None,270.3652094999561,270.7096644999692,271.36267179995775,271.70052800001577,272.3711549999425,272.6976163999643,up,0,9.279281400027685,270.42341920000035,None,272.9038950999966,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,left,1500,32.5,0.0020369013890205647,1,2,1,2.5,281.2624976667032,None,281.2139399999287,281.55284140002914,282.2110983999446,282.5486051000189,283.1977329000365,283.54400200000964,left,1,5.348899700096808,281.28162579995114,None,283.77103539998643,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,left,1500,32.5,0.0020369013890205647,1,2,1,2.5,288.1886432666254,None,288.141753599979,288.46118189999834,289.1659568999894,289.48642710002605,290.15462169994134,290.4861311999848,left,1,6.349412799929269,288.20152749994304,None,290.70128119993024,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,right,1500,27.5,0.0011454338263838868,-1,3,-1,-5.0,298.1126545667105,298.3417536999332,296.05187219998334,296.3909566999646,297.05427630001213,297.39076640002895,298.06332389998715,298.4052404999966,left,0,4.864251199993305,296.1108586000046,None,298.63083369995,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,up,1500,30.0,0.001527460556607757,1,4,1,2.5,303.51668396668197,None,302.4971166999312,302.83246790000703,303.5000173000153,303.8425696999766,304.47570109996013,304.7909929000307,up,1,3.133672299911268,302.5294843999436,None,305.036338099977,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,up,1500,30.0,0.001527460556607757,1,4,1,2.5,308.2361429666091,None,307.2011977999937,307.5232801999664,308.186651899945,308.50230229995213,309.20351300004404,309.53604819998145,up,1,3.8120922000380233,307.234464499983,None,309.75144409993663,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,right,1500,25.0,0.0008589541935787943,-1,5,-1,-5.0,314.60068596661245,None,312.5598150999285,312.89922539994586,313.56515979999676,313.9043747000396,314.556715899962,314.8668621999677,up,0,3.0283710000803694,312.61820959998295,None,315.1069605000084,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,up,1500,27.5,0.0011454338263838868,1,6,1,2.5,None,None,317.1845994000323,None,None,None,None,None,left,0,-1.531484599923715,317.2514782999642,None,None,None,,,,,,,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,2000,30,0.0023657562948074026,0,0,1,10,320.39258646668554,None,320.3474290999584,320.69362619996537,321.37219989998266,321.7154452999821,322.353307900019,322.68490839994047,up,0,3.5694907000288367,320.40571640001144,None,322.908805700019,None,space,1.5493068000068888,318.3137358999811,None,318.3137358999811,None,bihhjl,001,0,fr,2022-06-23_11h41.43.173,3-AFC_adaptive_staircase_mess,2022.1.1,33.65663900886416,
